ID,HasURL-TW,HasMedia-Tw,Friends,Tweets,Followers,Verified,Listed,Description,Image,User-URL,Age,VT,Label
1357533950999056384,0,1,7,193,57,0,3,7,1,0,4,0,__label1__
1357608416433213442,1,1,269,10286,1540,0,75,47,0,1,4,0,__label1__
1357620975836168192,0,0,288,9824,211,0,9,132,1,0,5,0,__label1__
1357741210182459395,1,1,269,10286,1540,0,75,47,0,1,4,0,__label1__
1360028726159835136,1,0,84,16041,332,0,0,136,1,0,11,0,__label1__
1360035846653505537,1,0,84,16041,332,0,0,136,1,0,11,0,__label1__
1360148653617381380,0,0,74,223,11,0,0,0,1,0,5,0,__label1__
1360375809593147394,1,0,84,16041,332,0,0,136,1,0,11,0,__label1__
1360377829636988932,0,1,1294,71290,2050,0,202,162,1,1,11,0,__label1__
1362553663403786250,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362559166863171584,1,0,84,16268,332,0,24,136,1,0,11,0,__label1__
1362560907885223938,1,0,84,16268,332,0,24,136,1,0,11,0,__label1__
1362586383097991170,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362586398948261888,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362586397937463301,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362586397371228165,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362586398012936194,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362586404874833922,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362588328634236929,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362588328571379714,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362588332451127299,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362588339816300550,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362588353640755200,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362588350654394370,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362588514194518016,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362590593155743744,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362591866366144513,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362591886708518915,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362592003821862913,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362595653663264770,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362597728170123267,1,0,84,16268,332,0,24,136,1,0,11,0,__label1__
1362621525967298562,1,0,84,16268,332,0,24,136,1,0,11,0,__label1__
1362621530048356358,0,1,84,16268,332,0,24,136,1,0,11,0,__label1__
1362622224050446337,1,0,84,16268,332,0,24,136,1,0,11,0,__label1__
1362623407611777024,0,0,84,16268,332,0,24,136,1,0,11,0,__label1__
1362623410971369480,0,1,84,16268,332,0,24,136,1,0,11,0,__label1__
1362623535928246274,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362626558809296898,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362626594083385347,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362627004303032320,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362633508741644290,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362634038696157192,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362656878585602055,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362658591900135428,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362658766810992641,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362660288709992448,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362660479114559488,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362662865606504448,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362670718220197889,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362670724897456129,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362671060576055296,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362671786190639108,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362674775349293056,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362678032046059520,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362678081463402500,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362682133848948738,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362688213580718080,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362689591183085568,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362764501871779845,1,1,270,10505,1548,0,75,47,0,1,4,0,__label1__
1362772166299811845,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362773802694959111,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362794985838452739,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362796837489549315,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362802860065497092,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362804556946690055,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362804998237802497,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362805157248069638,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362805174033653763,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362805393815179273,0,1,386,23474,577,0,15,96,0,1,13,0,__label1__
1362805704621441024,0,0,386,23474,577,0,15,96,0,1,13,0,__label1__
1362805873597440007,0,0,386,23474,577,0,15,96,0,1,13,0,__label1__
1362806495059050498,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362807160284020739,0,1,788,5192,316,0,9,75,0,0,13,0,__label1__
1362808046452428802,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362808318465556480,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362808324190830597,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362808330515800065,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362808378955816966,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362812037773078533,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362840870718820358,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362842515204931585,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362843838839152641,0,0,386,23474,577,0,15,96,0,1,13,0,__label1__
1362845204328321024,1,1,270,10505,1548,0,75,47,0,1,4,0,__label1__
1362847965983858689,1,1,270,10505,1548,0,75,47,0,1,4,0,__label1__
1362848277364764679,1,1,270,10505,1548,0,75,47,0,1,4,0,__label1__
1362848429945184259,1,1,270,10505,1548,0,75,47,0,1,4,0,__label1__
1362848543656927232,1,1,270,10505,1548,0,75,47,0,1,4,0,__label1__
1362848777334181890,1,1,270,10505,1548,0,75,47,0,1,4,0,__label1__
1362853722389364736,0,1,798,45990,468,0,14,21,0,1,13,0,__label1__
1362858182868107265,0,1,369,22020,132,0,1,89,1,0,2,0,__label1__
1362858564826636293,0,1,386,23474,577,0,15,96,0,1,13,0,__label1__
1362865742601936906,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362865839096147973,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362866149596270592,0,0,234,143966,3210,0,29,86,1,0,3,0,__label1__
1362866390043156489,0,0,386,23474,577,0,15,96,0,1,13,0,__label1__
1362866592476844033,0,0,262,98723,697,0,20,135,0,1,9,0,__label1__
1362869205801054215,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362873996660850693,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362876273710616577,0,1,7,264,65,0,3,7,1,0,4,0,__label1__
1362876828889739265,0,1,7,264,65,0,3,7,1,0,4,0,__label1__
1362890713604661250,1,0,70,3646,97,0,5,0,1,0,3,0,__label1__
1362891024054423554,1,0,84,16268,332,0,24,136,1,0,11,0,__label1__
1362891025639858178,0,0,84,16268,332,0,24,136,1,0,11,0,__label1__
1362891029653819392,0,1,84,16268,332,0,24,136,1,0,11,0,__label1__
1362891105407176704,1,0,70,3646,97,0,5,0,1,0,3,0,__label1__
1362891344859959297,1,0,70,3646,97,0,5,0,1,0,3,0,__label1__
1362895722484482058,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362896307061465089,0,0,386,23474,577,0,15,96,0,1,13,0,__label1__
1362898798360502274,0,0,262,98723,697,0,20,135,0,1,9,0,__label1__
1362899790166638603,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362901091549995010,1,1,270,10505,1548,0,75,47,0,1,4,0,__label1__
1362901559554662400,1,1,270,10505,1548,0,75,47,0,1,4,0,__label1__
1362906476654682114,1,0,70,3646,97,0,5,0,1,0,3,0,__label1__
1362907506641625092,0,0,798,45990,468,0,14,21,0,1,13,0,__label1__
1362911023313911809,0,0,369,22020,132,0,1,89,1,0,2,0,__label1__
1362911521173569537,0,0,386,23474,577,0,15,96,0,1,13,0,__label1__
1365240724694986754,0,1,793,5215,321,0,9,75,0,0,13,0,__label1__
1365241927545798657,0,0,42,3480,32,0,0,0,1,0,10,0,__label1__
1365318580707942403,0,1,453,22429,4834,0,128,120,0,1,7,0,__label1__
1365319583087943680,0,0,384,25382,590,0,15,96,0,1,13,0,__label1__
1365323545543380994,0,1,363,3894,1667,0,82,133,0,0,14,0,__label1__
1365323627995013120,0,0,1176,3363,222,0,27,51,0,0,13,0,__label1__
1365368614140846083,0,0,2919,7246,572,0,3,160,1,0,6,0,__label1__
1365428002109018113,1,1,71,3711,98,0,5,0,1,0,3,0,__label1__
1365443643234873352,0,1,96,217,45,0,1,0,1,0,3,0,__label1__
1349880960268050433,0,1,778,36367,435,0,12,21,0,1,13,0,__label1__
1349885252563451906,0,1,1267,88527,605,0,19,111,0,1,9,0,__label1__
1349896050463682560,0,0,778,36367,435,0,12,21,0,1,13,0,__label1__
1349935593963151360,0,1,0,4123,25,0,1,27,1,0,2,0,__label1__
1349938829172506626,1,1,264,9727,1406,0,66,0,0,1,4,0,__label1__
1349939309676138496,1,0,64,3392,92,0,5,0,1,0,3,0,__label1__
1349939621434572800,0,1,0,4123,25,0,1,27,1,0,2,0,__label1__
1349940109123100674,0,0,5,98,48,0,1,7,1,0,4,0,__label1__
1349941278587441155,0,1,778,36367,435,0,12,21,0,1,13,0,__label1__
1349946132860973057,0,1,778,36367,435,0,12,21,0,1,13,0,__label1__
1349948170915246084,0,1,384,14546,497,0,14,96,0,1,13,0,__label1__
1349948897817313281,0,0,1054,24583,2169,0,101,107,0,0,12,0,__label1__
1349952360244776962,0,0,360,11834,104,0,1,89,1,0,2,0,__label1__
1349952437315018755,0,1,0,4123,25,0,1,27,1,0,2,0,__label1__
1349955844088033283,0,1,0,4123,25,0,1,27,1,0,2,0,__label1__
1349958517940051970,0,0,288,9590,211,0,9,132,1,0,5,0,__label1__
1349962090723721216,0,1,0,4123,25,0,1,27,1,0,2,0,__label1__
1349978550200377344,0,1,778,36367,435,0,12,21,0,1,13,0,__label1__
1349978975393755137,0,1,778,36367,435,0,12,21,0,1,13,0,__label1__
1349990833488076801,0,1,778,36367,435,0,12,21,0,1,13,0,__label1__
1349993961214107648,0,1,778,36367,435,0,12,21,0,1,13,0,__label1__
1350020376219185154,0,0,5,98,48,0,1,7,1,0,4,0,__label1__
1350021926610116611,0,1,778,36367,435,0,12,21,0,1,13,0,__label1__
1350026734943432708,1,1,264,9727,1406,0,66,0,0,1,4,0,__label1__
1350027172375740419,0,0,4934,53940,217,0,7,156,0,1,4,0,__label1__
1350028509272449025,1,1,1289,70173,2019,0,196,162,1,1,11,0,__label1__
1350038775343157248,1,0,64,3392,92,0,5,0,1,0,3,0,__label1__
1350089714964049923,0,0,67,5432,98,0,9,0,0,0,10,0,__label1__
1350093011988918276,1,0,67,5432,98,0,9,0,0,0,10,0,__label1__
1350094683163258881,1,1,67,5432,98,0,9,0,0,0,10,0,__label1__
1350097672397606912,0,1,4513,20379,6658,0,288,158,0,1,13,0,__label1__
1350099068983398401,0,0,1474,82941,1163,0,22,151,1,1,2,0,__label1__
1350099401071599616,0,0,384,14546,497,0,14,96,0,1,13,0,__label1__
1350100468303683591,1,1,264,9727,1406,0,66,0,0,1,4,0,__label1__
1350108578221322241,0,0,3166,5023,185,0,6,39,1,0,3,0,__label1__
1350200721103179776,1,1,264,9727,1406,0,66,0,0,1,4,0,__label1__
1352416274786234371,0,1,790,37645,446,0,12,21,0,1,13,0,__label1__
1352416316611829761,0,0,790,37645,446,0,12,21,0,1,13,0,__label1__
1352417081891971075,0,1,384,16414,501,0,12,96,0,1,13,0,__label1__
1352417180160241668,0,0,384,16414,501,0,12,96,0,1,13,0,__label1__
1352432750142353409,0,0,1,7142,11,0,0,147,1,0,2,0,__label1__
